item_a,item_b,co_occurrence
SUBJ:Pharmacology,SUBJ:Pediatrics,27
SUBJ:Radiology,SUBJ:ENT,27
SUBJ:Pediatrics,SUBJ:Pharmacology,27
SUBJ:Pediatrics,SUBJ:OBG,27
General Medicine,Interventional Radiology,27
Head and Neck,Neuroanatomy,27
SUBJ:Ophthalmology,SUBJ:Pharmacology,27
Child Psychiatry,Endocrine Pharmacology,27
SUBJ:Forensic Medicine,SUBJ:OBG,26
Embryology,Neuroanatomy,26
SUBJ:Pediatrics,SUBJ:Radiology,26
SUBJ:Pediatrics,SUBJ:Physiology,26
Fractures,Neuroanatomy,25
Fractures,Growth & Development,25
SUBJ:ENT,SUBJ:Pathology,25
Growth & Development,Neonatology,25
SUBJ:ENT,SUBJ:Microbiology,25
SUBJ:Pathology,SUBJ:Orthopedics,25
SUBJ:Physiology,SUBJ:Pharmacology,24
SUBJ:Radiology,SUBJ:Pathology,24
SUBJ:Orthopedics,SUBJ:Surgery,24
SUBJ:Dermatology,SUBJ:Pharmacology,24
SUBJ:Medicine,SUBJ:Dermatology,24
SUBJ:Pharmacology,SUBJ:Ophthalmology,24
SUBJ:Pathology,SUBJ:OBG,23
Epidemiology,Immunization,23
SUBJ:ENT,SUBJ:Medicine,23
SUBJ:Ophthalmology,SUBJ:Biochemistry,23
Gynecologic Oncology,Neoplasia,23
Microbiology,Mycology,23
SUBJ:Radiology,SUBJ:Anatomy,23
Endocrine,Head & Neck,23
Endocrinology,Renal,22
Infectious Diseases,Pulmonology,22
SUBJ:Forensic Medicine,SUBJ:Biochemistry,22
Immunopathology,Virology,22
SUBJ:Forensic Medicine,SUBJ:Community Medicine,22
SUBJ:Community Medicine,SUBJ:Pharmacology,22
SUBJ:Pathology,SUBJ:Dermatology,22
Fractures,Systemic Pathology,22
Peripheral Nerves,Upper Limb,21
CNS Physiology,Endocrine Pharmacology,21
Bacteriology,Immunology,21
Cranial Nerves,Cranial nerves,21
Thanatology,Toxicology,21
Epidemiology,Virology,21
Biochemistry,Endocrine Pharmacology,21
Hematopathology,Systemic Pathology,21
Epidemiology,Tuberculosis,21
Embryology,Growth & Development,21
Environment & Occupational Health,Otology,21
Dermatology,Systemic Pathology,21
Cardiology,Endocrine Pharmacology,20
Cardiology,Valvular Heart Disease,20
SUBJ:Biochemistry,SUBJ:Anatomy,20
Epidemiology,Vitamins & Nutrition,20
SUBJ:Medicine,SUBJ:Ophthalmology,20
Pneumonia,Pulmonology,20
SUBJ:Anatomy,SUBJ:Pediatrics,20
SUBJ:Forensic Medicine,SUBJ:Psychiatry,20
SUBJ:Forensic Medicine,SUBJ:Pharmacology,20
Endocrinology,Growth & Development,20
SUBJ:Pathology,SUBJ:Physiology,20
Neonatology,Pulmonology,20
SUBJ:ENT,SUBJ:Pediatrics,20
SUBJ:Dermatology,SUBJ:Pediatrics,20
General Surgery,Neuroanatomy,19
SUBJ:Pharmacology,SUBJ:Pathology,19
SUBJ:Pathology,SUBJ:Radiology,19
SUBJ:Medicine,SUBJ:OBG,19
SUBJ:Ophthalmology,SUBJ:Physiology,19
Neurology,Vascular,19
Malaria,Parasitology,19
Cardiology,General Medicine,19
Inflammation & Healing,Systemic Pathology,19
Biochemistry,Neonatology,19
Epidemiology,Screening,19
Endocrine,Endocrinology,18
Helminthology,Parasitology,18
Histology,Neuroanatomy,18
Neuroanatomy,Upper Limb,18
Gynecologic Oncology,Hematopathology,18
SUBJ:OBG,SUBJ:Community Medicine,18
Head And Neck Anatomy,Head and Neck Anatomy,18
CNS Physiology,Pulmonology,18
Cardiology,Pulmonology,18
SUBJ:ENT,SUBJ:Physiology,18
Pulmonology,Thorax,18
Lens & Cataract,Squint & Pediatric Ophthalmology,18
SUBJ:Anatomy,SUBJ:Pathology,18
Peripheral nerves,Upper Limb,18
SUBJ:Surgery,SUBJ:Pharmacology,17
Child Psychiatry,General Medicine,17
Inborn Errors Of Metabolism,Inborn Errors of Metabolism,17
Cardiology,Embryology,17
Dermatology,Endocrine Pharmacology,17
Arrhythmias,Cardiology,17
Epidemiology,Neonatology,17
Neonatology,Systemic Pathology,17
Glaucoma,Squint & Pediatric Ophthalmology,16
Biochemistry,Genetics & Molecular Biology,16
SUBJ:Surgery,SUBJ:Orthopedics,16
SUBJ:Surgery,SUBJ:Microbiology,16
Neuroanatomy,Obstetric Complications,16
Anemia,Hematopathology,16
SUBJ:Surgery,SUBJ:Biochemistry,16
General Medicine,Infectious Diseases,16
Infectious Diseases,Neonatology,16
Child Psychiatry,Mood Disorders,16
Drowning,Thanatology,16
SUBJ:Medicine,SUBJ:Community Medicine,16
SUBJ:Anaesthesia,SUBJ:Surgery,16
Fractures,Hip Disorders,16
SUBJ:Pediatrics,SUBJ:Ophthalmology,16
Epidemiology,Study Designs,16
Endocrine Pharmacology,Neurology,16
SUBJ:Pharmacology,SUBJ:Dermatology,16
Medical Jurisprudence,Thanatology,16
SUBJ:Pharmacology,SUBJ:Community Medicine,16
Antimalarial Drugs,Antimalarial drugs,16
Fractures,Upper Limb,16
HIV/AIDS,Hiv/Aids,16
Immunology,Microbiology,16
Antidiabetic Drugs,Antidiabetic drugs,16
Head & Neck,Inflammation & Healing,16
Child Psychiatry,Schizophrenia & Psychosis,16
Fractures,General Medicine,15
SUBJ:Physiology,SUBJ:Pathology,15
Vestibular Disorders,Vestibular disorders,15
SUBJ:Medicine,SUBJ:Anaesthesia,15
Communicable Diseases,Epidemiology,15
SUBJ:Anatomy,SUBJ:Radiology,15
Dermatology,General Medicine,15
Hematopathology,Neonatology,15
SUBJ:Radiology,SUBJ:OBG,15
Contraception,Demography & Family Planning,15
Amino Acid Metabolism,Inborn Errors of Metabolism,15
SUBJ:Pathology,SUBJ:Anatomy,15
General Medicine,Neonatology,15
Biochemistry,Carbohydrate Metabolism,15
Glomerular Diseases,Glomerular diseases,15
Inflammation & Healing,Neoplasia,15
Child Psychiatry,Delusional Disorders,15
Delusional Disorders,Delusional disorders,15
Gynecologic Oncology,Obstetric Complications,14
Endocrine Pharmacology,Pulmonology,14
CNS Physiology,Neuroanatomy,14
Cranial Nerves,Neuroanatomy,14
SUBJ:Surgery,SUBJ:OBG,14
Cell Injury & Death,Systemic Pathology,14
Hematopathology,Lymphoma,14
Genetics & Molecular Biology,Hematopathology,14
Endocrinology,Reproductive,14
General Medicine,Obstetric Complications,14
Neonatology,Vitamins & Nutrition,14
SUBJ:Pediatrics,SUBJ:Anatomy,14
Gastrointestinal,Neoplasia,14
Hematopathology,Infectious Diseases,14
Biochemistry,General Medicine,14
General Medicine,Pulmonology,14
Biochemistry,Microbiology,14
Microbiology,Neonatology,14
Inborn Errors Of Metabolism,Inborn errors of metabolism,14
Lacrimal Apparatus,Lacrimal apparatus,14
Abdomen,Renal,14
SUBJ:Pathology,SUBJ:Community Medicine,13
Antenatal Care,Endocrine Pharmacology,13
Carbohydrate Metabolism,Inborn Errors of Metabolism,13
Audiology,Otology,13
Postmortem Changes,Thanatology,13
Neuroanatomy,Neurology,13
Maternal And Child Health,Maternal and Child Health,13
Hematopathology,Transfusion Medicine,13
SUBJ:Psychiatry,SUBJ:Community Medicine,13
Carbohydrate Metabolism,Vitamins & Nutrition,13
Local Anaesthetics,Regional Anaesthesia,13
Carbohydrate Metabolism,Enzymology,13
Endocrine,Reproductive,13
Peripheral Nerves,Peripheral nerves,13
HIV/AIDS,Infectious Diseases,13
Cardiology,Renal,13
Fractures,Neoplasia,13
Endocrine,Renal,13
Environment & Occupational Health,Interventional Radiology,13
Neonatology,Squint & Pediatric Ophthalmology,13
SUBJ:Anaesthesia,SUBJ:Anatomy,13
Embryology,Reproductive,13
Embryology,Head and Neck,13
Head And Neck,Neuroanatomy,13
Refractive Errors,Refractive errors,13
Cerebral circulation,Neuroanatomy,13
Epidemiology,Systemic Pathology,13
Endocrine Pharmacology,Neuromuscular Blocking Agents,13
SUBJ:Surgery,SUBJ:Anaesthesia,12
Neuroanatomy,Peripheral Nerves,12
SUBJ:Microbiology,SUBJ:Surgery,12
Immunology,Virology,12
SUBJ:ENT,SUBJ:Pharmacology,12
Infectious Diseases,Neurology,12
Dermatology,Neonatology,12
Epidemiology,National Health Programs,12
Brachial Plexus,Upper Limb,12
Gastroenterology,Gastrointestinal,12
SUBJ:Community Medicine,SUBJ:Ophthalmology,12
Gastroenterology,Infectious Diseases,12
Cardiology,Vascular,12
Genetics & Molecular Biology,Neoplasia,12
Diabetic retinopathy,Retina,12
Cardiology,Congenital Heart Disease,12
Cornea & Refractive,Infectious Diseases,12
Carbohydrate Metabolism,Glycolysis,12
Genetic Disorders,Genetic disorders,12
CNS Physiology,Cardiology,12
Antenatal Care,Labor & Delivery,12
SUBJ:Community Medicine,SUBJ:Pathology,12
SUBJ:Biochemistry,SUBJ:Community Medicine,12
Interventional Radiology,Obstetric Complications,12
Interventional Radiology,Systemic Pathology,12
Fractures,Spine,12
Dermatology,Scabies,12
Child Psychiatry,Delusional disorders,12
Histology,Inflammation & Healing,12
General Surgery,Interventional Radiology,11
Dermatology,Rheumatology,11
Endocrinology,Neonatology,11
Interventional Radiology,Neonatology,11
Congenital Anomalies,Neonatology,11
Arteries,Lower Limb,11
SUBJ:Anaesthesia,SUBJ:Physiology,11
Antiepileptic Drugs,Antiepileptic drugs,11
Endocrine Pharmacology,Pharmacokinetics,11
Lymphoma,Systemic Pathology,11
Gastroenterology,Systemic Pathology,11
Neonatology,Obstetric Complications,11
SUBJ:Microbiology,SUBJ:Ophthalmology,11
Genetics & Molecular Biology,Gynecologic Oncology,11
SUBJ:Medicine,SUBJ:ENT,11
Complement System,Immunology,11
Thanatology,Trauma,11
Genetics & Molecular Biology,Neurology,11
Infectious Diseases,Tuberculosis,11
Gynecologic Oncology,Systemic Pathology,11
Inflammation & Healing,Pulmonology,11
Joints & Arthritis,Rheumatology,11
Complement system,Immunology,11
Gynecologic Oncology,Interventional Radiology,11
Interventional Radiology,Neuroanatomy,11
Gastrointestinal,Interventional Radiology,11
Pelvic Anatomy,Pelvic anatomy,11
Child Psychiatry,Neurology,11
Biochemistry,Lipid Metabolism,11
Interventional Radiology,Neoplasia,11
Squint & Pediatric Ophthalmology,Strabismus,11
Demography & Family Planning,Epidemiology,11
Mechanical Injuries,Trauma,11
Ocular Anatomy,Ocular anatomy,11
Abdomen,Inflammation & Healing,11
Hematopathology,Inflammation & Healing,11
Biochemistry,Enzymology,11
Immunology,Systemic Pathology,11
Endocrine Pharmacology,Toxicology,11
SUBJ:Surgery,SUBJ:Physiology,10
Fractures,Joints & Arthritis,10
SUBJ:Pharmacology,SUBJ:Forensic Medicine,10
Abdominal Imaging,Interventional Radiology,10
Immunization,Vaccination,10
SUBJ:Surgery,SUBJ:Community Medicine,10
Glomerular Diseases,Renal,10
Lower Limb,Neuroanatomy,10
Age Estimation,Thanatology,10
Endocrinology,Infertility,10
Head & Neck,Neuroanatomy,10
Dyslipidemia,Lipid Metabolism,10
SUBJ:Microbiology,SUBJ:ENT,10
Hematopathology,Immunology,10
SUBJ:Medicine,SUBJ:Psychiatry,10
Breast & Endocrine Surgery,Neoplasia,10
SUBJ:Pediatrics,SUBJ:Dermatology,10
Epidemiology,Interventional Radiology,10
SUBJ:Radiology,SUBJ:Community Medicine,10
Amino Acid Metabolism,Amino acid metabolism,10
Amino acid metabolism,Inborn errors of metabolism,10
Postpartum Hemorrhage,Postpartum hemorrhage,10
Anticancer Drugs,Anticancer drugs,10
Antidiabetic Drugs,Endocrine Pharmacology,10
Bacteriology,Pulmonology,10
SUBJ:Community Medicine,SUBJ:Dermatology,10
Biostatistics,Research Methodology,10
Endocrinology,Pituitary Disorders,10
SUBJ:Community Medicine,SUBJ:Forensic Medicine,10
Antidiabetic drugs,Endocrine Pharmacology,10
Endocrine Pharmacology,Inhalational Anaesthetics,10
Neuroanatomy,Vascular,10
Biochemistry,Hematopathology,10
SUBJ:Anaesthesia,SUBJ:OBG,10
Infectious Diseases,Inflammation & Healing,10
Endocrine,Neoplasia,10
Anxiety & OCD,Child Psychiatry,10
Joints & Arthritis,Lower Limb,10
Embryology,Pancreas,10
Autonomic,Cardiology,10
Brachial Plexus,Brachial plexus,10
Blast injuries,Trauma,10
Disaster Management,Disaster management,10
Child Psychiatry,Hallucinations,10
Child Psychiatry,Mania,10
Child Psychiatry,Personality Disorders,10
Neuroanatomy,Thorax,10
Large Intestine,Large intestine,10
Microbiology,Vaccines,10
Immunopathology,Inflammation & Healing,10
Cornea & Refractive,Squint & Pediatric Ophthalmology,9
CNS Physiology,Gastrointestinal,9
Gastrointestinal,Neonatology,9
Infectious Diseases,Nose & PNS,9
Gynecologic Oncology,Urology,9
Gynecologic Oncology,Infertility,9
Neoplasia,Renal,9
Genetics & Molecular Biology,Inheritance patterns,9
Embryology,Gastrointestinal,9
SUBJ:Anaesthesia,SUBJ:ENT,9
Poisoning,Toxicology,9
Hematopathology,Leukemia,9
Endocrine Pharmacology,Neonatology,9
Cerebellum,Neuroanatomy,9
Coagulation,Hematopathology,9
Hematopathology,Myeloproliferative Neoplasms,9
Antenatal Care,Cardiology,9
SUBJ:Ophthalmology,SUBJ:Surgery,9
Interventional Radiology,Radiation Physics,9
SUBJ:Biochemistry,SUBJ:Microbiology,9
Coagulation Disorders,Hematopathology,9
Infectious Diseases,Nephrology,9
SUBJ:Ophthalmology,SUBJ:ENT,9
Autoimmune Diseases,Rheumatology,9
Cardiology,Neonatology,9
Cardiology,Electrocardiography,9
DNA Replication,Genetics & Molecular Biology,9
Hematopathology,Hemolytic Anemias,9
SUBJ:Pathology,SUBJ:Ophthalmology,9
Indian Penal Code,Medical Jurisprudence,9
SUBJ:Ophthalmology,SUBJ:Community Medicine,9
Cardiology,Interventional Radiology,9
SUBJ:Surgery,SUBJ:ENT,9
Hematopathology,Hemoglobinopathies,9
Antimicrobial Resistance,Antimicrobial resistance,9
Neuroanatomy,Squint & Pediatric Ophthalmology,9
Environment & Occupational Health,Factory Act,9
Retina,Squint & Pediatric Ophthalmology,9
Cell Injury & Death,Inflammation & Healing,9
SUBJ:Orthopedics,SUBJ:Microbiology,9
Cranial Nerves,Head and Neck,9
Immunology,Inflammation & Healing,9
Burns & Plastic,Thanatology,9
Inflammation & Healing,Trauma,9
Inflammation & Healing,Uveitis,9
Head & Neck,Neoplasia,9
Head and Neck,Throat & Larynx,9
Neuroanatomy,Spine,9
General Medicine,Hematopathology,9
Middle Ear,Middle ear,9
Inhalational Anaesthetics,Inhalational anaesthetics,9
Epidemiology,Neoplasia,9
Cornea & Refractive,Refractive errors,9
Head and Neck,Lymphatic System,9
Cranial Venous Sinuses,Cranial venous sinuses,9
Immunopathology,Rheumatology,9
Antipsychotic Drugs,Antipsychotic drugs,9
Otitis Media,Otitis media,9
Neuromuscular Blocking Agents,Regional Anaesthesia,9
Beta Blockers,Beta blockers,9
Epidemiology,General Medicine,9
Breast & Endocrine Surgery,Neonatology,9
Abdomen,Neoplasia,9
Inflammation & Healing,Lower Limb,9
Abdomen,Embryology,8
Neonatology,Renal,8
Carbohydrate Metabolism,Endocrinology,8
Immunology,Serology,8
Growth & Development,Vitamins & Nutrition,8
Head And Neck Surgery,Head and Neck Surgery,8
Emergency Medicine,Trauma,8
Contraception,Endocrine Pharmacology,8
Rheumatology,Vasculitis,8
Microbiology,Obstetric Complications,8
Dermatology,Mycology,8
Cranial nerves,Neuroanatomy,8
SUBJ:Pharmacology,SUBJ:Surgery,8
Gastrointestinal,Systemic Pathology,8
Genetic Disorders,Genetics & Molecular Biology,8
Genetics & Molecular Biology,Neonatology,8
SUBJ:Microbiology,SUBJ:Physiology,8
SUBJ:Forensic Medicine,SUBJ:Surgery,8
SUBJ:Community Medicine,SUBJ:Psychiatry,8
Cardiology,Endocrinology,8
Renal,Urology,8
Biochemistry,Endocrinology,8
Biochemistry,Metabolic Disorders,8
Antimicrobial Drugs,Antimicrobials,8
Amino Acid Metabolism,Protein Metabolism,8
Antimicrobial Resistance,Bacteriology,8
Antitubercular Drugs,Antitubercular drugs,8
Environmental Health,Water Quality,8
Environment & Occupational Health,Head And Neck Anatomy,8
Environment & Occupational Health,Head and Neck Anatomy,8
Environment & Occupational Health,General Surgery,8
Gastroenterology,Neonatology,8
Gas Exchange,Pulmonology,8
Carbohydrate Metabolism,Gluconeogenesis,8
Epidemiological Study Designs,Epidemiology,8
SUBJ:Pediatrics,SUBJ:Orthopedics,8
Cerebral Circulation,Neuroanatomy,8
Ketone Bodies,Lipid Metabolism,8
Endocrine Pharmacology,Local Anaesthetics,8
SUBJ:Psychiatry,SUBJ:Physiology,8
SUBJ:Psychiatry,SUBJ:Biochemistry,8
HIV,Infectious Diseases,8
Hiv/Aids,Infectious Diseases,8
SUBJ:Community Medicine,SUBJ:Surgery,8
SUBJ:Psychiatry,SUBJ:Forensic Medicine,8
Nephrology,Rheumatology,8
Metal Poisoning,Toxicology,8
General Medicine,Squint & Pediatric Ophthalmology,8
SUBJ:Anatomy,SUBJ:Dermatology,8
Biomedical Waste Management,Waste Management,8
Amino Acid Metabolism,Biochemistry,8
Endocrine Pharmacology,Infectious Diseases,8
Neuroanatomy,Systemic Pathology,8
Dermatology,Virology,8
Cardiology,Valvular heart disease,8
Hematopathology,Hemolytic anemias,8
Medical Jurisprudence,Medical Negligence,8
Trauma,Urology,8
Antenatal Care,Preeclampsia,8
Biochemistry,Immunology,8
Environment & Occupational Health,General Medicine,8
Neuromuscular Blockers,Neuromuscular blockers,8
Muscle Physiology,Muscle physiology,8
Ear,Otology,8
SUBJ:Anaesthesia,SUBJ:Pediatrics,8
Knee Injuries,Knee injuries,8
Brachial plexus,Upper Limb,8
CNS Physiology,Neurophysiology,8
Enzymology,Vitamins & Nutrition,8
Neoplasia,Pulmonology,8
Complement System,Complement system,8
Nail Disorders,Nail disorders,8
Obsessive-Compulsive Disorder,Obsessive-compulsive disorder,8
Embryology,Vascular,8
Lymphatic System,Lymphatic system,8
Heart,Thorax,8
Cerebral Circulation,Cerebral circulation,8
Anthropometry,Stature estimation,8
Mechanical Injuries,Mechanical injuries,8
Mechanical injuries,Trauma,8
Nystagmus,Vestibular system,8
Vestibular Disorders,Vestibular system,8
Vestibular disorders,Vestibular system,8
Cholesteatoma,Ear,8
Cornea & Refractive,Keratitis,8
Psychotic Disorders,Psychotic disorders,8
Systemic Pathology,Thanatology,8
Chlamydia,Microbiology,8
Endocrine Pharmacology,Glaucoma,8
Inflammation & Healing,Thorax,8
Radial Nerve,Upper Limb,8
Cardiology,Inflammation & Healing,8
Menstrual Disorders,Reproductive,8
Genetics & Molecular Biology,Nucleic Acids,7
Bacteriology,Gastroenterology,7
