topic,primary_subject,question_count,years_seen,year_list,recurrence,recent_count,years_since_last,due_for_return,importance_score,priority_band
Urological surgery,Surgery,1,1,2024,0.062,1,1,False,14.9,Low
Urticaria,Dermatology,1,1,2024,0.062,1,1,False,14.9,Low
Ventilation Perfusion,Physiology,1,1,2024,0.062,1,1,False,14.9,Low
Ventricular action potential,Physiology,1,1,2024,0.062,1,1,False,14.9,Low
Vesicular Lesions,Dermatology,1,1,2024,0.062,1,1,False,14.9,Low
Vestibular Function Tests,ENT,1,1,2024,0.062,1,1,False,14.9,Low
Vestibular function tests,ENT,1,1,2024,0.062,1,1,False,14.9,Low
Vestibular neuronitis,ENT,1,1,2024,0.062,1,1,False,14.9,Low
Voice Disorders,ENT,1,1,2024,0.062,1,1,False,14.9,Low
Wound assessment,Surgery,1,1,2024,0.062,1,1,False,14.9,Low
ion channels,Physiology,1,1,2024,0.062,1,1,False,14.9,Low
Amblyopia,Ophthalmology,4,2,"2015,2016",0.125,0,9,False,14.8,Low
Ocular pharmacology,Ophthalmology,4,2,"2013,2019",0.125,0,6,False,14.8,Low
Plastic surgery,Surgery,4,2,"2012,2020",0.125,0,5,False,14.8,Low
Rectum,Anatomy,4,2,"2015,2016",0.125,0,9,False,14.8,Low
Diabetic Emergencies,Medicine,2,2,"2022,2025",0.125,1,0,False,14.8,Low
Drug Hypersensitivity,Medicine,2,2,"2022,2024",0.125,1,1,False,14.8,Low
Health Program Evaluation,Microbiology,2,2,"2021,2025",0.125,1,0,False,14.8,Low
Infectious dermatoses,Dermatology,2,2,"2022,2024",0.125,1,1,False,14.8,Low
Chemoreceptors,Physiology,4,2,"2012,2019",0.125,0,6,False,14.7,Low
Dermatologic Signs,Dermatology,4,2,"2013,2016",0.125,0,9,False,14.7,Low
Dermatological Signs,Dermatology,4,2,"2012,2016",0.125,0,9,False,14.7,Low
Epidemiological Studies,Community Medicine,4,2,"2014,2019",0.125,0,6,False,14.7,Low
Gynaecologic oncology,OBG,4,2,"2012,2018",0.125,0,7,False,14.7,Low
Head And Neck Lymphatics,Anatomy,4,2,"2012,2016",0.125,0,9,False,14.7,Low
Health indicators,Community Medicine,4,2,"2013,2018",0.125,0,7,False,14.7,Low
IPC sections,Forensic Medicine,4,2,"2014,2016",0.125,0,9,False,14.7,Low
Neurocognitive Disorders,Psychiatry,4,2,"2013,2018",0.125,0,7,False,14.7,Low
Pancreatic carcinoma,Pathology,4,2,"2014,2016",0.125,0,9,False,14.7,Low
Turner syndrome,Medicine,4,2,"2014,2016",0.125,0,9,False,14.7,Low
Abdominal Wall Defects,Anatomy,2,2,"2019,2024",0.125,1,1,False,14.7,Low
Abdominal radiology,Radiology,2,2,"2021,2024",0.125,1,1,False,14.7,Low
Amputations,Surgery,2,2,"2019,2024",0.125,1,1,False,14.7,Low
Autoimmune Skin Disorders,Dermatology,2,2,"2019,2024",0.125,1,1,False,14.7,Low
Barium Swallow,Radiology,2,2,"2020,2024",0.125,1,1,False,14.7,Low
Benign Uterine Conditions,OBG,2,2,"2019,2025",0.125,1,0,False,14.7,Low
Biologics,Pharmacology,2,2,"2021,2024",0.125,1,1,False,14.7,Low
Choledocholithiasis,Surgery,2,2,"2020,2024",0.125,1,1,False,14.7,Low
Clinical Presentation,Pediatrics,2,2,"2018,2025",0.125,1,0,False,14.7,Low
Congenital Brain Malformations,Radiology,2,2,"2019,2024",0.125,1,1,False,14.7,Low
Congenital Malformations,Pediatrics,2,2,"2018,2025",0.125,1,0,False,14.7,Low
Crohn's disease,Medicine,2,2,"2020,2024",0.125,1,1,False,14.7,Low
Fat Embolism,Orthopedics,2,2,"2020,2024",0.125,1,1,False,14.7,Low
Fat embolism,Orthopedics,2,2,"2020,2024",0.125,1,1,False,14.7,Low
Foreign bodies,ENT,2,2,"2021,2024",0.125,1,1,False,14.7,Low
Gram-Positive Bacteria,Microbiology,2,2,"2019,2024",0.125,1,1,False,14.7,Low
Gram-positive Bacteria,Microbiology,2,2,"2019,2024",0.125,1,1,False,14.7,Low
High Altitude Sickness,Medicine,2,2,"2020,2025",0.125,1,0,False,14.7,Low
Lymphoid Neoplasms,Pathology,2,2,"2019,2024",0.125,1,1,False,14.7,Low
Marfan syndrome,Ophthalmology,2,2,"2019,2025",0.125,1,0,False,14.7,Low
Membrane Potentials,Physiology,2,2,"2019,2024",0.125,1,1,False,14.7,Low
Monoclonal Antibodies,Pharmacology,2,2,"2018,2025",0.125,1,0,False,14.7,Low
Mucopolysaccharidoses,Biochemistry,2,2,"2020,2024",0.125,1,1,False,14.7,Low
Neuro-Oncology,Medicine,2,2,"2020,2024",0.125,1,1,False,14.7,Low
Obstetric pharmacology,Pharmacology,2,2,"2019,2024",0.125,1,1,False,14.7,Low
Oral Lesions,ENT,2,2,"2019,2024",0.125,1,1,False,14.7,Low
Oral lesions,ENT,2,2,"2019,2024",0.125,1,1,False,14.7,Low
Orbital Pathology,Ophthalmology,2,2,"2020,2024",0.125,1,1,False,14.7,Low
Paternity,Pharmacology,2,2,"2021,2024",0.125,1,1,False,14.7,Low
Postpartum care,OBG,2,2,"2020,2024",0.125,1,1,False,14.7,Low
Salivary Gland Pathology,Pathology,2,2,"2018,2025",0.125,1,0,False,14.7,Low
Scaphoid,Orthopedics,2,2,"2019,2024",0.125,1,1,False,14.7,Low
Superior mesenteric artery,Radiology,2,2,"2018,2025",0.125,1,0,False,14.7,Low
Suture materials,Surgery,2,2,"2018,2025",0.125,1,0,False,14.7,Low
Umbilical Cord,OBG,2,2,"2018,2025",0.125,1,0,False,14.7,Low
V/Q Ratio,Physiology,2,2,"2020,2025",0.125,1,0,False,14.7,Low
Adverse effects,Pharmacology,4,2,"2014,2015",0.125,0,10,False,14.6,Low
Androgens,Pharmacology,4,2,"2014,2016",0.125,0,9,False,14.6,Low
Ankylosing spondylitis,Orthopedics,4,2,"2014,2016",0.125,0,9,False,14.6,Low
Cell Membrane Transport,Physiology,4,2,"2014,2015",0.125,0,10,False,14.6,Low
Choking,Forensic Medicine,4,2,"2013,2018",0.125,0,7,False,14.6,Low
Down syndrome,Pathology,4,2,"2014,2015",0.125,0,10,False,14.6,Low
Drug toxicity,Pharmacology,4,2,"2013,2020",0.125,0,5,False,14.6,Low
Enterococci,Microbiology,4,2,"2012,2015",0.125,0,10,False,14.6,Low
Free Radicals And Antioxidants,Biochemistry,4,2,"2014,2016",0.125,0,9,False,14.6,Low
Free Radicals and Antioxidants,Biochemistry,4,2,"2014,2016",0.125,0,9,False,14.6,Low
Hand And Wrist,Orthopedics,4,2,"2014,2015",0.125,0,10,False,14.6,Low
Hypercalcemia,Medicine,4,2,"2013,2016",0.125,0,9,False,14.6,Low
ICDS,Community Medicine,4,2,"2012,2015",0.125,0,10,False,14.6,Low
IUD,OBG,4,2,"2014,2015",0.125,0,10,False,14.6,Low
Impetigo,Dermatology,4,2,"2014,2016",0.125,0,9,False,14.6,Low
Iron deficiency anemia,Pathology,4,2,"2014,2015",0.125,0,10,False,14.6,Low
Laryngeal Mask Airway,Anaesthesia,4,2,"2014,2015",0.125,0,10,False,14.6,Low
Listeria,Microbiology,4,2,"2014,2015",0.125,0,10,False,14.6,Low
Neuromuscular junction,Pharmacology,4,2,"2013,2019",0.125,0,6,False,14.6,Low
Ocular surface disease,Ophthalmology,4,2,"2013,2016",0.125,0,9,False,14.6,Low
Parasomnia,Psychiatry,4,2,"2013,2015",0.125,0,10,False,14.6,Low
Phobias,Psychiatry,4,2,"2013,2019",0.125,0,6,False,14.6,Low
Plasma proteins,Physiology,4,2,"2013,2015",0.125,0,10,False,14.6,Low
Precocious Puberty,Pediatrics,4,2,"2014,2015",0.125,0,10,False,14.6,Low
Professional Ethics,Forensic Medicine,4,2,"2013,2019",0.125,0,6,False,14.6,Low
Radiation Dose,Radiology,4,2,"2013,2015",0.125,0,10,False,14.6,Low
Sutures,Surgery,4,2,"2013,2015",0.125,0,10,False,14.6,Low
Thyroid gland,Anatomy,4,2,"2014,2016",0.125,0,9,False,14.6,Low
Transmission,Microbiology,4,2,"2014,2017",0.125,0,8,False,14.6,Low
Tuberculosis Control,Community Medicine,4,2,"2014,2016",0.125,0,9,False,14.6,Low
Typhoid,Microbiology,4,2,"2014,2015",0.125,0,10,False,14.6,Low
Typhoid Fever,Microbiology,4,2,"2014,2015",0.125,0,10,False,14.6,Low
Ards,Medicine,2,2,"2015,2025",0.125,1,0,False,14.6,Low
Dyslipidemia Drugs,Pharmacology,2,2,"2017,2024",0.125,1,1,False,14.6,Low
Fluorosis,Community Medicine,2,2,"2015,2025",0.125,1,0,False,14.6,Low
Gastroesophageal reflux disease,Surgery,2,2,"2016,2025",0.125,1,0,False,14.6,Low
Hand muscles,Anatomy,2,2,"2018,2024",0.125,1,1,False,14.6,Low
Hypertrophic Cardiomyopathy,Medicine,2,2,"2016,2024",0.125,1,1,False,14.6,Low
Immunodeficiency Disorders,Pediatrics,2,2,"2018,2024",0.125,1,1,False,14.6,Low
Knee Ligament Injuries,Orthopedics,2,2,"2018,2024",0.125,1,1,False,14.6,Low
Language,Anatomy,2,2,"2016,2024",0.125,1,1,False,14.6,Low
Membrane physiology,Physiology,2,2,"2018,2024",0.125,1,1,False,14.6,Low
Mortality Rates,Community Medicine,2,2,"2016,2024",0.125,1,1,False,14.6,Low
Nerve Fiber Classification,Anatomy,2,2,"2016,2025",0.125,1,0,False,14.6,Low
Occupational Medicine,ENT,2,2,"2016,2024",0.125,1,1,False,14.6,Low
Pharyngeal Disorders,ENT,2,2,"2016,2024",0.125,1,1,False,14.6,Low
Pigmentation Disorders,Dermatology,2,2,"2016,2024",0.125,1,1,False,14.6,Low
Prokinetic Drugs,Physiology,2,2,"2016,2025",0.125,1,0,False,14.6,Low
Uric acid metabolism,Pharmacology,2,2,"2018,2024",0.125,1,1,False,14.6,Low
AIDS,Medicine,4,2,"2013,2014",0.125,0,11,False,14.5,Low
Antimycobacterial Drugs,Pharmacology,4,2,"2012,2016",0.125,0,9,False,14.5,Low
Antimycobacterial drugs,Pharmacology,4,2,"2012,2016",0.125,0,9,False,14.5,Low
Lymph Node,Anatomy,4,2,"2013,2015",0.125,0,10,False,14.5,Low
Neck Dissection,ENT,4,2,"2013,2015",0.125,0,10,False,14.5,Low
Neonatal Care,Pediatrics,4,2,"2013,2014",0.125,0,11,False,14.5,Low
Patellofemoral Disorders,Orthopedics,4,2,"2013,2016",0.125,0,9,False,14.5,Low
Poisons,Forensic Medicine,4,2,"2013,2016",0.125,0,9,False,14.5,Low
Pupillary reflexes,Ophthalmology,4,2,"2013,2016",0.125,0,9,False,14.5,Low
Abdominal aortic aneurysm,Surgery,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Adolescent Health,ENT,2,2,"2014,2024",0.125,1,1,False,14.5,Low
Alcohol Intoxication,Forensic Medicine,2,2,"2014,2024",0.125,1,1,False,14.5,Low
Alcohol intoxication,Forensic Medicine,2,2,"2014,2024",0.125,1,1,False,14.5,Low
Alzheimer's disease,Psychiatry,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Anorectal Disorders,Surgery,2,2,"2014,2024",0.125,1,1,False,14.5,Low
Antidiarrheal Drugs,Pharmacology,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Antiviral therapy,Pharmacology,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Ballistic Injuries,Forensic Medicine,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Ballistic injuries,Forensic Medicine,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Cardiopulmonary Resuscitation,Medicine,2,2,"2013,2024",0.125,1,1,False,14.5,Low
Chronic Wounds,Surgery,2,2,"2013,2024",0.125,1,1,False,14.5,Low
Congenital CNS Anomalies,Radiology,2,2,"2013,2024",0.125,1,1,False,14.5,Low
External ear,ENT,2,2,"2014,2024",0.125,1,1,False,14.5,Low
Fatty acid oxidation,Biochemistry,2,2,"2013,2024",0.125,1,1,False,14.5,Low
Glucose Metabolism,Physiology,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Head and neck cancer,Pharmacology,2,2,"2013,2024",0.125,1,1,False,14.5,Low
Heat-related illness,Medicine,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Ligament Injuries,Orthopedics,2,2,"2012,2025",0.125,1,0,False,14.5,Low
Metabolic Bone Disorders,Pediatrics,2,2,"2013,2024",0.125,1,1,False,14.5,Low
Methanol poisoning,Forensic Medicine,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Nasal Septum,ENT,2,2,"2013,2024",0.125,1,1,False,14.5,Low
Neonatal Disorders,Biochemistry,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Ocular Pathology,Pathology,2,2,"2013,2024",0.125,1,1,False,14.5,Low
Ovarian Pathology,OBG,2,2,"2014,2024",0.125,1,1,False,14.5,Low
Paediatric Ophthalmology,Ophthalmology,2,2,"2014,2024",0.125,1,1,False,14.5,Low
Pulmonary embolism,Radiology,2,2,"2013,2025",0.125,1,0,False,14.5,Low
Red Cell Disorders,Pathology,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Refractive Surgery,Ophthalmology,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Shoulder Region,Anatomy,2,2,"2013,2025",0.125,1,0,False,14.5,Low
Shoulder region,Anatomy,2,2,"2013,2025",0.125,1,0,False,14.5,Low
Stroke Management,Medicine,2,2,"2014,2024",0.125,1,1,False,14.5,Low
Surgical Sutures,OBG,2,2,"2013,2024",0.125,1,1,False,14.5,Low
Thoracic aorta,Anatomy,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Thyroid Carcinoma,Pathology,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Thyroid carcinoma,Pathology,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Treatment,Pharmacology,2,2,"2015,2024",0.125,1,1,False,14.5,Low
Urologic Pathology,Pathology,2,2,"2014,2024",0.125,1,1,False,14.5,Low
Voice disorders,ENT,2,2,"2013,2024",0.125,1,1,False,14.5,Low
Water Sanitation,Community Medicine,2,2,"2014,2025",0.125,1,0,False,14.5,Low
Angiogenesis,Pathology,4,2,"2013,2014",0.125,0,11,False,14.4,Low
Axilla,Anatomy,4,2,"2013,2014",0.125,0,11,False,14.4,Low
Colorectal Cancer,Surgery,4,2,"2013,2014",0.125,0,11,False,14.4,Low
Intraocular pressure,Ophthalmology,4,2,"2013,2014",0.125,0,11,False,14.4,Low
Krebs Cycle,Biochemistry,4,2,"2012,2014",0.125,0,11,False,14.4,Low
Lupus vulgaris,Dermatology,4,2,"2013,2014",0.125,0,11,False,14.4,Low
Maternal mortality,Community Medicine,4,2,"2013,2015",0.125,0,10,False,14.4,Low
Mortality indicators,Community Medicine,4,2,"2013,2014",0.125,0,11,False,14.4,Low
Perception,Psychiatry,4,2,"2013,2014",0.125,0,11,False,14.4,Low
Prenatal diagnosis,OBG,4,2,"2013,2014",0.125,0,11,False,14.4,Low
Trematodes,Microbiology,4,2,"2012,2018",0.125,0,7,False,14.4,Low
Tropical Medicine,Community Medicine,3,3,"2019,2020,2022",0.188,0,3,False,14.4,Low
Antiviral Pharmacology,Pharmacology,2,2,"2011,2024",0.125,1,1,False,14.4,Low
Asthma Management,Medicine,2,2,"2012,2024",0.125,1,1,False,14.4,Low
Infections of Skin,Anatomy,2,2,"2012,2024",0.125,1,1,False,14.4,Low
Liver diseases,Medicine,2,2,"2012,2024",0.125,1,1,False,14.4,Low
Mitochondrial Disorders,Biochemistry,2,2,"2011,2024",0.125,1,1,False,14.4,Low
Pancreatic hormones,Physiology,2,2,"2012,2024",0.125,1,1,False,14.4,Low
Pelvic Floor Surgery,OBG,2,2,"2011,2024",0.125,1,1,False,14.4,Low
Radiculopathy,Orthopedics,2,2,"2012,2024",0.125,1,1,False,14.4,Low
Sleep physiology,Psychiatry,2,2,"2012,2024",0.125,1,1,False,14.4,Low
Antimalarials,Pharmacology,4,2,"2012,2013",0.125,0,12,False,14.3,Low
Bruises,Forensic Medicine,4,2,"2012,2013",0.125,0,12,False,14.3,Low
Colorectal surgery,Surgery,4,2,"2012,2013",0.125,0,12,False,14.3,Low
Drug Side Effects,Pharmacology,4,2,"2010,2020",0.125,0,5,False,14.3,Low
Health education,Community Medicine,4,2,"2012,2013",0.125,0,12,False,14.3,Low
Hepatobiliary system,Anatomy,4,2,"2012,2013",0.125,0,12,False,14.3,Low
Immunoglobulins,Microbiology,4,2,"2012,2013",0.125,0,12,False,14.3,Low
Infectious mononucleosis,Microbiology,4,2,"2012,2014",0.125,0,11,False,14.3,Low
Inhalational Anesthetics,Anaesthesia,4,2,"2012,2014",0.125,0,11,False,14.3,Low
Mechanical Asphyxia,Forensic Medicine,4,2,"2012,2013",0.125,0,12,False,14.3,Low
Mechanical asphyxia,Forensic Medicine,4,2,"2012,2013",0.125,0,12,False,14.3,Low
Osteonecrosis,Orthopedics,4,2,"2012,2015",0.125,0,10,False,14.3,Low
PCOD,OBG,4,2,"2011,2013",0.125,0,12,False,14.3,Low
Pcod,OBG,4,2,"2011,2013",0.125,0,12,False,14.3,Low
Pediatric oncology,Pediatrics,4,2,"2012,2014",0.125,0,11,False,14.3,Low
Phospholipids,Biochemistry,4,2,"2012,2013",0.125,0,12,False,14.3,Low
Pigmented lesions,Dermatology,4,2,"2012,2013",0.125,0,12,False,14.3,Low
Primary health care,Community Medicine,4,2,"2012,2013",0.125,0,12,False,14.3,Low
Pulmonary Mechanics,Physiology,4,2,"2012,2013",0.125,0,12,False,14.3,Low
Regeneration,Pathology,4,2,"2012,2013",0.125,0,12,False,14.3,Low
Social Sciences,Community Medicine,4,2,"2012,2013",0.125,0,12,False,14.3,Low
Postpartum Hemorrhage Management,OBG,3,3,"2019,2020,2021",0.188,0,4,False,14.3,Low
Multiple Gestation,OBG,2,2,"2010,2024",0.125,1,1,False,14.3,Low
Biotechnology,Microbiology,4,2,"2011,2013",0.125,0,12,False,14.2,Low
Lipoproteins,Biochemistry,4,2,"2011,2012",0.125,0,13,False,14.2,Low
Paediatric ophthalmology,Ophthalmology,4,2,"2011,2013",0.125,0,12,False,14.2,Low
Rectal Prolapse,Surgery,4,2,"2010,2012",0.125,0,13,False,14.2,Low
Cell biology,Biochemistry,3,3,"2016,2019,2020",0.188,0,5,False,14.2,Low
Emergency Surgery,Surgery,3,3,"2011,2022,2023",0.188,0,2,False,14.2,Low
Environmental Medicine,Medicine,3,3,"2015,2020,2021",0.188,0,4,False,14.2,Low
Genital Warts,Dermatology,3,3,"2016,2018,2023",0.188,0,2,False,14.2,Low
Gestational age,OBG,3,3,"2016,2019,2021",0.188,0,4,False,14.2,Low
Neck Masses,ENT,3,3,"2015,2020,2022",0.188,0,3,False,14.2,Low
Neonatal Skin Conditions,Pediatrics,3,3,"2017,2018,2020",0.188,0,5,False,14.2,Low
Neuromuscular Pharmacology,Pharmacology,3,3,"2017,2018,2020",0.188,0,5,False,14.2,Low
Nitric Oxide,Biochemistry,3,3,"2017,2019,2020",0.188,0,5,False,14.2,Low
Pediatric Dermatology,Dermatology,3,3,"2016,2018,2021",0.188,0,4,False,14.2,Low
Prognostic Scores,Medicine,3,3,"2018,2019,2020",0.188,0,5,False,14.2,Low
Stroke Syndromes,Medicine,3,3,"2017,2019,2020",0.188,0,5,False,14.2,Low
Triage,Medicine,3,3,"2015,2019,2022",0.188,0,3,False,14.2,Low
Vaccinology,Microbiology,3,3,"2013,2021,2022",0.188,0,3,False,14.2,Low
Ventilation Perfusion Matching,Physiology,3,3,"2017,2018,2020",0.188,0,5,False,14.2,Low
Abdominal Emergencies,Medicine,3,3,"2011,2019,2022",0.188,0,3,False,14.1,Low
Abortion,OBG,3,3,"2015,2016,2022",0.188,0,3,False,14.1,Low
Airway Obstruction,ENT,3,3,"2015,2018,2019",0.188,0,6,False,14.1,Low
Cervical Insufficiency,OBG,3,3,"2014,2016,2022",0.188,0,3,False,14.1,Low
Diagnostic Techniques,Microbiology,3,3,"2016,2018,2020",0.188,0,5,False,14.1,Low
Extrapyramidal Symptoms,Pharmacology,3,3,"2015,2016,2022",0.188,0,3,False,14.1,Low
Fluid therapy,Medicine,3,3,"2013,2018,2022",0.188,0,3,False,14.1,Low
Foodborne Illnesses,Microbiology,3,3,"2015,2018,2021",0.188,0,4,False,14.1,Low
Herpesviridae,Microbiology,3,3,"2014,2019,2021",0.188,0,4,False,14.1,Low
Hydatid Disease,Surgery,3,3,"2014,2019,2020",0.188,0,5,False,14.1,Low
Laparoscopic surgery,Surgery,3,3,"2014,2018,2020",0.188,0,5,False,14.1,Low
Metabolic Pathways,Biochemistry,3,3,"2012,2018,2022",0.188,0,3,False,14.1,Low
Pediatric Infectious,Pediatrics,3,3,"2013,2018,2021",0.188,0,4,False,14.1,Low
Peritonitis,Medicine,3,3,"2011,2020,2022",0.188,0,3,False,14.1,Low
SLE,Dermatology,3,3,"2014,2019,2020",0.188,0,5,False,14.1,Low
Salivary Gland,ENT,3,3,"2015,2016,2022",0.188,0,3,False,14.1,Low
Systemic Diseases,Dermatology,3,3,"2011,2020,2022",0.188,0,3,False,14.1,Low
Thyroid Pathology,Pathology,3,3,"2011,2020,2022",0.188,0,3,False,14.1,Low
Toxins,Microbiology,3,3,"2011,2021,2022",0.188,0,3,False,14.1,Low
Trichomoniasis,OBG,3,3,"2013,2019,2021",0.188,0,4,False,14.1,Low
Vaccine schedule,Community Medicine,3,3,"2016,2018,2019",0.188,0,6,False,14.1,Low
Varicella,Pediatrics,3,3,"2015,2018,2021",0.188,0,4,False,14.1,Low
Adrenergic drugs,Pharmacology,3,3,"2014,2018,2019",0.188,0,6,False,14.0,Low
Alcohol,Forensic Medicine,3,3,"2015,2016,2018",0.188,0,7,False,14.0,Low
Alzheimer's Disease,Medicine,3,3,"2016,2017,2018",0.188,0,7,False,14.0,Low
Anaesthesia Circuits,Anaesthesia,3,3,"2015,2016,2018",0.188,0,7,False,14.0,Low
Antibacterial drugs,Pharmacology,3,3,"2012,2016,2022",0.188,0,3,False,14.0,Low
Antiseptics And Disinfectants,Microbiology,3,3,"2014,2015,2020",0.188,0,5,False,14.0,Low
Biliary system,Anatomy,3,3,"2014,2016,2020",0.188,0,5,False,14.0,Low
CNS Drugs,Pharmacology,3,3,"2014,2018,2019",0.188,0,6,False,14.0,Low
Cardiogenic Shock,Medicine,3,3,"2016,2017,2018",0.188,0,7,False,14.0,Low
Carrier state,Microbiology,3,3,"2014,2016,2019",0.188,0,6,False,14.0,Low
Catecholamine Metabolism,Biochemistry,3,3,"2016,2017,2018",0.188,0,7,False,14.0,Low
Cholinergic Drugs,Pharmacology,3,3,"2012,2019,2020",0.188,0,5,False,14.0,Low
Cranial Nerve Nuclei,Anatomy,3,3,"2016,2017,2018",0.188,0,7,False,14.0,Low
Cranial nerve palsies,Ophthalmology,3,3,"2013,2016,2020",0.188,0,5,False,14.0,Low
Dermatophytosis,Microbiology,3,3,"2013,2014,2022",0.188,0,3,False,14.0,Low
Diabetic Neuropathy,Medicine,3,3,"2016,2017,2018",0.188,0,7,False,14.0,Low
Diagnostic Criteria,Medicine,3,3,"2014,2016,2019",0.188,0,6,False,14.0,Low
Difficult Airway,Anaesthesia,3,3,"2014,2016,2019",0.188,0,6,False,14.0,Low
Electrolyte Disturbances,Medicine,3,3,"2014,2016,2019",0.188,0,6,False,14.0,Low
Electrolyte balance,Physiology,3,3,"2014,2015,2021",0.188,0,4,False,14.0,Low
Enteric fever,Microbiology,3,3,"2013,2015,2023",0.188,0,2,False,14.0,Low
Fluid & Electrolyte Balance,Pediatrics,3,3,"2012,2018,2021",0.188,0,4,False,14.0,Low
Graves Disease,Medicine,3,3,"2016,2017,2018",0.188,0,7,False,14.0,Low
Head Injury Assessment,Medicine,3,3,"2016,2017,2018",0.188,0,7,False,14.0,Low
Health Economics,Community Medicine,3,3,"2012,2019,2020",0.188,0,5,False,14.0,Low
Liver abscess,Medicine,3,3,"2014,2016,2021",0.188,0,4,False,14.0,Low
Measures Of Disease Frequency,Community Medicine,3,3,"2016,2017,2018",0.188,0,7,False,14.0,Low
Measures of Disease Frequency,Community Medicine,3,3,"2016,2017,2018",0.188,0,7,False,14.0,Low
Mechanism of action,Pharmacology,3,3,"2015,2016,2020",0.188,0,5,False,14.0,Low
Mediastinal Compartments,Anatomy,3,3,"2016,2017,2018",0.188,0,7,False,14.0,Low
Menopause Management,OBG,3,3,"2016,2017,2018",0.188,0,7,False,14.0,Low
Muscle Relaxants,Pharmacology,3,3,"2014,2017,2018",0.188,0,7,False,14.0,Low
Nasal polyps,ENT,3,3,"2013,2015,2022",0.188,0,3,False,14.0,Low
Orbital Diseases,Ophthalmology,3,3,"2014,2015,2020",0.188,0,5,False,14.0,Low
Organ donation,Anaesthesia,3,3,"2016,2017,2018",0.188,0,7,False,14.0,Low
Pediatric ENT,ENT,3,3,"2014,2015,2021",0.188,0,4,False,14.0,Low
Pediatric Radiology,Radiology,3,3,"2012,2016,2021",0.188,0,4,False,14.0,Low
Radiation Effects,Radiology,3,3,"2011,2018,2020",0.188,0,5,False,14.0,Low
Radiological signs,Radiology,3,3,"2014,2017,2020",0.188,0,5,False,14.0,Low
Renin-Angiotensin System,Pharmacology,3,3,"2012,2015,2023",0.188,0,2,False,14.0,Low
Salivary gland disorders,ENT,3,3,"2014,2016,2020",0.188,0,5,False,14.0,Low
Serotonin Metabolism,Biochemistry,3,3,"2016,2017,2018",0.188,0,7,False,14.0,Low
Transfusion Reactions,Pathology,3,3,"2015,2016,2018",0.188,0,7,False,14.0,Low
Urine Formation,Physiology,3,3,"2016,2017,2018",0.188,0,7,False,14.0,Low
Vulvar Pathology,OBG,3,3,"2016,2017,2018",0.188,0,7,False,14.0,Low
Connective Tissue Diseases,Dermatology,3,3,"2012,2014,2021",0.188,0,4,False,13.9,Low
Encephalitis,Medicine,3,3,"2010,2014,2023",0.188,0,2,False,13.9,Low
Eyelid Anatomy,Ophthalmology,3,3,"2013,2014,2021",0.188,0,4,False,13.9,Low
Genetic mutations,Pathology,3,3,"2014,2016,2017",0.188,0,8,False,13.9,Low
Genitourinary Anatomy,Anatomy,3,3,"2011,2018,2019",0.188,0,6,False,13.9,Low
Granulomatous Diseases,Pathology,3,3,"2014,2016,2018",0.188,0,7,False,13.9,Low
Hair Disorders,Dermatology,3,3,"2011,2014,2022",0.188,0,3,False,13.9,Low
Hemodialysis,Medicine,3,3,"2014,2015,2018",0.188,0,7,False,13.9,Low
Legal Definitions,Forensic Medicine,3,3,"2014,2016,2017",0.188,0,8,False,13.9,Low
Monitoring,Anaesthesia,3,3,"2012,2014,2022",0.188,0,3,False,13.9,Low
Musculoskeletal Pharmacology,Pharmacology,3,3,"2011,2016,2020",0.188,0,5,False,13.9,Low
Myocardial Infarction,Medicine,3,3,"2013,2016,2019",0.188,0,6,False,13.9,Low
Neisseria Gonorrhoeae,Microbiology,3,3,"2013,2014,2020",0.188,0,5,False,13.9,Low
Neisseria gonorrhoeae,Microbiology,3,3,"2013,2014,2020",0.188,0,5,False,13.9,Low
Pemphigus vulgaris,Dermatology,3,3,"2014,2015,2019",0.188,0,6,False,13.9,Low
Presbyopia,Ophthalmology,3,3,"2014,2016,2017",0.188,0,8,False,13.9,Low
Puerperium,OBG,3,3,"2012,2014,2022",0.188,0,3,False,13.9,Low
Pulmonary,Radiology,3,3,"2013,2016,2018",0.188,0,7,False,13.9,Low
Receptor Pharmacology,Pharmacology,3,3,"2013,2014,2020",0.188,0,5,False,13.9,Low
Thoracic imaging,Radiology,3,3,"2013,2017,2018",0.188,0,7,False,13.9,Low
Uterine Disorders,OBG,3,3,"2011,2017,2019",0.188,0,6,False,13.9,Low
Adenoids,ENT,3,3,"2013,2015,2016",0.188,0,9,False,13.8,Low
