recent_count,older_count,recent_share,older_share,delta_share,topic
167.0,580.0,0.027658164955283206,0.016502589199339897,0.011155575755943309,Infectious Diseases
104.0,243.0,0.017224246439218285,0.006914015819723439,0.010310230619494846,Obstetric Complications
85.0,188.0,0.014077509108976483,0.005349115119786035,0.008728393989190448,Gynecologic Oncology
107.0,344.0,0.01772109970188804,0.00978774255960849,0.007933357142279551,Hematopathology
81.0,236.0,0.013415038092083472,0.006714846639731406,0.006700191452352066,Neurology
94.0,313.0,0.015568068896985757,0.008905707619643771,0.0066623612773419865,Vitamins & Nutrition
79.0,236.0,0.013083802583636965,0.006714846639731406,0.0063689559439055595,Inflammation & Healing
61.0,153.0,0.010102683007618418,0.004353269219825869,0.005749413787792548,Toxicology
95.0,356.0,0.01573368665120901,0.010129175439594833,0.005604511211614177,Neoplasia
119.0,500.0,0.019708512752567076,0.014226369999430945,0.0054821427531361305,Cardiology
50.0,99.0,0.008280887711162636,0.002816821259887327,0.005464066451275309,Head & Neck
39.0,77.0,0.006459092414706857,0.0021908609799123654,0.004268231434794491,Mycology
44.0,107.0,0.00728718118582312,0.003044443179878222,0.0042427380059448985,Histology
36.0,72.0,0.0059622391520370984,0.0020485972799180563,0.003913641872119043,Urology
45.0,130.0,0.007452798940046373,0.003698856199852046,0.0037539427401943274,Endocrine
26.0,33.0,0.004306061609804571,0.0009389404199624424,0.003367121189842129,Gastrointestinal Surgery
64.0,261.0,0.010599536270288175,0.007426165139702953,0.003173371130585222,Antenatal Care
56.0,221.0,0.009274594236502154,0.0062880555397484775,0.002986538696753676,Trauma
35.0,101.0,0.005796621397813845,0.002873726739885051,0.0029228946579287944,Lower Limb
88.0,412.0,0.01457436237164624,0.011722528879531098,0.002851833492115142,Pulmonology
58.0,238.0,0.009605829744948658,0.00677175211972913,0.002834077625219528,Renal
32.0,112.0,0.005299768135144088,0.0031867068798725317,0.002113061255271556,Labor & Delivery
28.0,89.0,0.004637297118251077,0.0025322938598987084,0.0021050032583523684,General Surgery
53.0,240.0,0.008777740973832394,0.006828657599726853,0.0019490833741055407,Endocrinology
22.0,62.0,0.00364359059291156,0.0017640698799294373,0.0018795207129821228,Emergency Medicine
13.0,11.0,0.0021530308049022857,0.0003129801399874808,0.0018400506649148048,Pharynx
12.0,7.0,0.001987413050679033,0.00019916917999203323,0.0017882438706869996,Nerve Muscle
10.0,0.0,0.0016561775422325273,0.0,0.0016561775422325273,Cvs Pharmacology
10.0,0.0,0.0016561775422325273,0.0,0.0016561775422325273,Communicable And Non-Communicable Diseases
37.0,158.0,0.006127856906260351,0.004495532919820178,0.0016323239864401724,Thorax
17.0,43.0,0.0028155018217952965,0.0012234678199510613,0.0015920340018442353,Nose & PNS
39.0,172.0,0.006459092414706857,0.004893871279804245,0.001565221134902612,Gastroenterology
15.0,33.0,0.002484266313348791,0.0009389404199624424,0.0015453258933863486,Peripheral Nerves
20.0,63.0,0.0033123550844650546,0.0017925226199282992,0.0015198324645367555,Cell Injury & Death
13.0,25.0,0.0021530308049022857,0.0007113184999715473,0.0014417123049307384,X-ray
9.0,4.0,0.0014905597880092746,0.00011381095999544757,0.0013767488280138271,Plastic Surgery
14.0,34.0,0.0023186485591255384,0.0009673931599613043,0.0013512553991642342,Metabolic Disorders
8.0,0.0,0.001324942033786022,0.0,0.001324942033786022,Pediatric Respiratory
26.0,106.0,0.004306061609804571,0.0030159904398793604,0.001290071169925211,Nephrology
59.0,299.0,0.009771447499171911,0.008507369259659706,0.0012640782395122053,Thanatology
30.0,132.0,0.004968532626697582,0.0037557616798497696,0.0012127709468478126,Breast & Endocrine Surgery
37.0,173.0,0.006127856906260351,0.004922324019803107,0.001205532886457244,Lipid Metabolism
24.0,98.0,0.003974826101358066,0.0027883685198884654,0.0011864575814696005,Enzymology
20.0,75.0,0.0033123550844650546,0.0021339554999146417,0.001178399584550413,Immunopathology
9.0,11.0,0.0014905597880092746,0.0003129801399874808,0.0011775796480217938,Lysosomal Storage Disorders
10.0,17.0,0.0016561775422325273,0.00048369657998065214,0.0011724809622518752,Disaster Management
7.0,0.0,0.0011593242795627692,0.0,0.0011593242795627692,Concept Of Health And Disease
7.0,1.0,0.0011593242795627692,2.845273999886189e-05,0.0011308715395639073,Thoracic Radiology
8.0,7.0,0.001324942033786022,0.00019916917999203323,0.0011257728537939888,Neurosurgery
7.0,3.0,0.0011593242795627692,8.535821999658566e-05,0.0010739660595661836,Pediatric Orthopedics
65.0,341.0,0.010765154024511428,0.009702384339611904,0.0010627696848995241,Bacteriology
15.0,50.0,0.002484266313348791,0.0014226369999430946,0.0010616293134056965,National Health Programs
14.0,46.0,0.0023186485591255384,0.0013088260399476469,0.0010098225191778915,Cranial Nerves
6.0,0.0,0.0009937065253395165,0.0,0.0009937065253395165,Hepatobiliary Pancreatic Surgery
6.0,0.0,0.0009937065253395165,0.0,0.0009937065253395165,Fluid And Electrolyte Disturbances
6.0,0.0,0.0009937065253395165,0.0,0.0009937065253395165,Inherited Metabolic Disorders
7.0,6.0,0.0011593242795627692,0.00017071643999317133,0.000988607839569598,General Physiology
7.0,7.0,0.0011593242795627692,0.00019916917999203323,0.000960155099570736,CT & MRI
8.0,13.0,0.001324942033786022,0.0003698856199852046,0.0009550564138008173,Acid-Base Balance
66.0,351.0,0.01093077177873468,0.009986911739600524,0.0009438600391341555,Fractures
6.0,2.0,0.0009937065253395165,5.690547999772378e-05,0.0009368010453417927,Spondyloarthropathies
53.0,277.0,0.008777740973832394,0.007881408979684744,0.0008963319941476498,Genetics & Molecular Biology
6.0,4.0,0.0009937065253395165,0.00011381095999544757,0.0008798955653440689,Binocular Vision
26.0,121.0,0.004306061609804571,0.0034427815398622888,0.0008632800699422826,Rheumatology
10.0,28.0,0.0016561775422325273,0.0007966767199681329,0.0008595008222643944,Health Care Delivery
10.0,29.0,0.0016561775422325273,0.0008251294599669948,0.0008310480822655325,Vaccines
5.0,0.0,0.0008280887711162637,0.0,0.0008280887711162637,Ct & Mri
5.0,0.0,0.0008280887711162637,0.0,0.0008280887711162637,Acute Leukemia
5.0,0.0,0.0008280887711162637,0.0,0.0008280887711162637,The Nervous System
5.0,0.0,0.0008280887711162637,0.0,0.0008280887711162637,Cardiopulmonary Cerebral Resuscitation
17.0,70.0,0.0028155018217952965,0.0019916917999203325,0.000823810021874964,Medical Jurisprudence
15.0,59.0,0.002484266313348791,0.0016787116599328515,0.0008055546534159396,Head And Neck
11.0,36.0,0.00182179529645578,0.0010242986399590281,0.0007974966564967519,Inborn Errors of Metabolism
49.0,258.0,0.008115269956939383,0.0073408069197063676,0.0007744630372330157,Virology
5.0,2.0,0.0008280887711162637,5.690547999772378e-05,0.0007711832911185399,Sclera
6.0,9.0,0.0009937065253395165,0.00025607465998975703,0.0007376318653497594,Age Estimation
6.0,9.0,0.0009937065253395165,0.00025607465998975703,0.0007376318653497594,Asphyxial Deaths
7.0,15.0,0.0011593242795627692,0.00042679109998292834,0.0007325331795798409,Arrhythmias
5.0,4.0,0.0008280887711162637,0.00011381095999544757,0.000714277811120816,Connective Tissue Disorders
6.0,10.0,0.0009937065253395165,0.0002845273999886189,0.0007091791253508975,Surgical Instruments
12.0,45.0,0.001987413050679033,0.001280373299948785,0.000707039750730248,Infertility
7.0,16.0,0.0011593242795627692,0.00045524383998179026,0.000704080439580979,Electrolyte Imbalance
4.0,0.0,0.000662471016893011,0.0,0.000662471016893011,Ans Pharmacology
4.0,0.0,0.000662471016893011,0.0,0.000662471016893011,Sensory Receptors
4.0,0.0,0.000662471016893011,0.0,0.000662471016893011,Compartment Syndromes
4.0,1.0,0.000662471016893011,2.845273999886189e-05,0.0006340182768941491,Rigor mortis
4.0,1.0,0.000662471016893011,2.845273999886189e-05,0.0006340182768941491,Hematological Malignancies
4.0,1.0,0.000662471016893011,2.845273999886189e-05,0.0006340182768941491,Substance-Related And Addictive Disorders
5.0,7.0,0.0008280887711162637,0.00019916917999203323,0.0006289195911242304,Poisoning
5.0,7.0,0.0008280887711162637,0.00019916917999203323,0.0006289195911242304,Optics
6.0,13.0,0.0009937065253395165,0.0003698856199852046,0.0006238209053543119,Diabetes Mellitus
4.0,2.0,0.000662471016893011,5.690547999772378e-05,0.0006055655368952872,Wound Care
4.0,2.0,0.000662471016893011,5.690547999772378e-05,0.0006055655368952872,Lysosomal storage disorders
4.0,2.0,0.000662471016893011,5.690547999772378e-05,0.0006055655368952872,Vaccine Storage
5.0,8.0,0.0008280887711162637,0.00022762191999089513,0.0006004668511253686,Peripheral Nerve Injuries
4.0,3.0,0.000662471016893011,8.535821999658566e-05,0.0005771127968964253,Heme Synthesis
5.0,9.0,0.0008280887711162637,0.00025607465998975703,0.0005720141111265067,Preeclampsia
5.0,9.0,0.0008280887711162637,0.00025607465998975703,0.0005720141111265067,Cardiothoracic
5.0,9.0,0.0008280887711162637,0.00025607465998975703,0.0005720141111265067,Movement Disorders
5.0,9.0,0.0008280887711162637,0.00025607465998975703,0.0005720141111265067,Neuropathology
5.0,9.0,0.0008280887711162637,0.00025607465998975703,0.0005720141111265067,Pediatric Surgery
4.0,4.0,0.000662471016893011,0.00011381095999544757,0.0005486600568975633,Health Administration
4.0,4.0,0.000662471016893011,0.00011381095999544757,0.0005486600568975633,Urolithiasis
5.0,10.0,0.0008280887711162637,0.0002845273999886189,0.0005435613711276448,Legal Procedures
5.0,10.0,0.0008280887711162637,0.0002845273999886189,0.0005435613711276448,General Pharmacology
6.0,16.0,0.0009937065253395165,0.00045524383998179026,0.0005384626853577263,Leprosy
4.0,5.0,0.000662471016893011,0.00014226369999430945,0.0005202073168987015,Autacoids
5.0,11.0,0.0008280887711162637,0.0003129801399874808,0.0005151086311287829,Abdominal Imaging
6.0,17.0,0.0009937065253395165,0.00048369657998065214,0.0005100099453588644,Valvular Heart Disease
6.0,17.0,0.0009937065253395165,0.00048369657998065214,0.0005100099453588644,Anemia
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Laryngeal muscles
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Consent
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Obstetric Terminology
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Episiotomy Repair
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Court Of Law
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Hearing Loss Diagnosis
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Platelet And Bleeding Disorders
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Neuro Ophthalmology
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,High Altitude Physiology
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Excretory System
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Atrial Fibrillation
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,COVID-19
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Amino Acids And Proteins Chemistry
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Compartment syndromes
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Abdominal Surgery
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Conjunctival Lesions
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Intracranial Complications
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Infectious Dermatoses
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Miscellaneous Disorders
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Sexual Jurisprudence
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Pre-Anaesthetic Evaluation
3.0,0.0,0.0004968532626697582,0.0,0.0004968532626697582,Skin Appendages And Their Disorders
4.0,6.0,0.000662471016893011,0.00017071643999317133,0.0004917545768998396,Sexual Disorders
